,Date,Count
232,2013-08-21,9140
233,2013-08-22,9543
234,2013-08-23,7625
235,2013-08-24,10844
236,2013-08-25,9481
237,2013-08-26,9269
238,2013-08-27,9506
239,2013-08-28,7636
240,2013-08-29,9343
241,2013-08-30,9661
242,2013-08-31,9403
243,2013-09-01,9216
244,2013-09-02,8025
245,2013-09-03,8810
246,2013-09-04,9734
247,2013-09-05,9918
248,2013-09-06,10142
249,2013-09-07,10118
250,2013-09-08,9400
251,2013-09-09,9056
252,2013-09-10,9432
253,2013-09-11,9175
254,2013-09-12,6981
255,2013-09-13,9931
256,2013-09-14,11131
257,2013-09-15,9748
258,2013-09-16,8268
259,2013-09-17,9836
260,2013-09-18,9952
261,2013-09-19,10360
262,2013-09-20,10545
263,2013-09-21,6840
264,2013-09-22,9339
265,2013-09-23,8981
266,2013-09-24,9489
267,2013-09-25,9524
268,2013-09-26,9788
269,2013-09-27,9858
270,2013-09-28,10057
271,2013-09-29,9251
272,2013-09-30,9032
273,2013-10-01,10255
274,2013-10-02,10249
275,2013-10-03,10059
276,2013-10-04,10158
277,2013-10-05,10456
278,2013-10-06,9650
279,2013-10-07,5797
280,2013-10-08,9829
281,2013-10-09,6360
282,2013-10-10,2491
283,2013-10-11,1775
284,2013-10-12,5191
285,2013-10-13,5938
286,2013-10-14,8818
287,2013-10-15,9272
288,2013-10-16,9629
289,2013-10-17,9468
290,2013-10-18,10256
291,2013-10-19,9309
292,2013-10-20,8493
293,2013-10-21,8956
294,2013-10-22,8990
295,2013-10-23,7884
296,2013-10-24,7823
297,2013-10-25,7866
298,2013-10-26,7906
299,2013-10-27,7917
300,2013-10-28,8515
301,2013-10-29,8949
302,2013-10-30,8055
303,2013-10-31,8335
304,2013-11-01,8046
305,2013-11-02,9374
306,2013-11-03,7652
307,2013-11-04,6854
308,2013-11-05,8152
309,2013-11-06,8780
310,2013-11-07,7974
311,2013-11-08,7508
312,2013-11-09,7541
313,2013-11-10,7177
314,2013-11-11,7188
315,2013-11-12,6112
316,2013-11-13,6466
317,2013-11-14,7273
318,2013-11-15,7671
319,2013-11-16,6804
320,2013-11-17,6945
321,2013-11-18,8253
322,2013-11-19,7445
323,2013-11-20,7340
324,2013-11-21,7521
325,2013-11-22,8146
326,2013-11-23,6134
327,2013-11-24,3193
328,2013-11-25,5260
329,2013-11-26,1873
330,2013-11-27,2240
331,2013-11-28,1574
332,2013-11-29,2918
333,2013-11-30,3003
334,2013-12-01,3670
335,2013-12-02,6314
336,2013-12-03,7449
337,2013-12-04,7551
338,2013-12-05,8142
339,2013-12-06,2944
340,2013-12-07,4878
341,2013-12-08,1357
342,2013-12-09,3446
343,2013-12-10,2696
344,2013-12-11,5470
345,2013-12-12,5084
346,2013-12-13,5624
347,2013-12-14,2794
348,2013-12-15,4301
349,2013-12-16,5612
350,2013-12-17,5350
351,2013-12-18,5772
352,2013-12-19,6653
353,2013-12-20,6511
354,2013-12-21,6430
355,2013-12-22,2830
356,2013-12-23,2002
357,2013-12-24,2345
358,2013-12-25,1001
359,2013-12-26,2446
360,2013-12-27,3584
361,2013-12-28,4421
362,2013-12-29,1441
363,2013-12-30,4356
364,2013-12-31,4126
365,2014-01-01,3011
366,2014-01-02,3316
367,2014-01-03,1608
368,2014-01-04,2242
369,2014-01-05,2060
370,2014-01-06,3507
371,2014-01-07,2282
372,2014-01-08,3855
373,2014-01-09,4948
374,2014-01-10,1843
375,2014-01-11,1955
376,2014-01-12,5413
377,2014-01-13,6861
378,2014-01-14,5059
379,2014-01-15,6459
380,2014-01-16,6016
381,2014-01-17,6138
382,2014-01-18,3299
383,2014-01-19,4099
384,2014-01-20,5316
385,2014-01-21,1747
386,2014-01-22,1426
387,2014-01-23,2426
388,2014-01-24,2623
389,2014-01-25,2259
390,2014-01-26,2554
391,2014-01-27,4484
392,2014-01-28,3129
393,2014-01-29,3160
394,2014-01-30,4178
395,2014-01-31,5424
396,2014-02-01,5342
397,2014-02-02,5423
398,2014-02-03,2462
399,2014-02-04,5177
400,2014-02-05,3746
401,2014-02-06,5176
402,2014-02-07,5394
403,2014-02-08,4037
404,2014-02-09,3120
405,2014-02-10,4431
406,2014-02-11,4747
407,2014-02-12,3945
408,2014-02-13,52
409,2014-02-14,1911
410,2014-02-15,1748
411,2014-02-16,2838
412,2014-02-17,3311
413,2014-02-18,5086
414,2014-02-19,5622
415,2014-02-20,6577
416,2014-02-21,5783
417,2014-02-22,7817
418,2014-02-23,6065
419,2014-02-24,5396
420,2014-02-25,4561
421,2014-02-26,3921
422,2014-02-27,4882
423,2014-02-28,4093
424,2014-03-01,4560
425,2014-03-02,3493
426,2014-03-03,418
427,2014-03-04,2244
428,2014-03-05,4512
429,2014-03-06,4832
430,2014-03-07,5064
431,2014-03-08,8416
432,2014-03-09,5916
433,2014-03-10,6785
434,2014-03-11,8360
435,2014-03-12,6229
436,2014-03-13,3984
437,2014-03-14,6949
438,2014-03-15,10344
439,2014-03-16,4813
440,2014-03-17,1279
441,2014-03-18,4658
442,2014-03-19,3754
443,2014-03-20,7514
444,2014-03-21,7677
445,2014-03-22,10847
446,2014-03-23,5313
447,2014-03-24,5341
448,2014-03-25,3092
449,2014-03-26,4933
450,2014-03-27,6449
451,2014-03-28,6670
452,2014-03-29,2262
453,2014-03-30,896
454,2014-03-31,8158
455,2014-04-01,9371
456,2014-04-02,8886
457,2014-04-03,9107
458,2014-04-04,8877
459,2014-04-05,10754
460,2014-04-06,9817
461,2014-04-07,2801
462,2014-04-08,8849
463,2014-04-09,9873
464,2014-04-10,11241
465,2014-04-11,11432
466,2014-04-12,15564
467,2014-04-13,14419
468,2014-04-14,10574
469,2014-04-15,1816
470,2014-04-16,7771
471,2014-04-17,8624
472,2014-04-18,9341
473,2014-04-19,11926
474,2014-04-20,9513
475,2014-04-21,9670
476,2014-04-22,9108
477,2014-04-23,8925
478,2014-04-24,9804
479,2014-04-25,7574
480,2014-04-26,11510
481,2014-04-27,11041
482,2014-04-28,6415
483,2014-04-29,3115
484,2014-04-30,1793
485,2014-05-01,9578
486,2014-05-02,10333
487,2014-05-03,11182
488,2014-05-04,10512
489,2014-05-05,8087
490,2014-05-06,10403
491,2014-05-07,8562
492,2014-05-08,10404
493,2014-05-09,10409
494,2014-05-10,8231
495,2014-05-11,10969
496,2014-05-12,9434
497,2014-05-13,9930
498,2014-05-14,9721
499,2014-05-15,9400
500,2014-05-16,8033
501,2014-05-17,11203
502,2014-05-18,10207
503,2014-05-19,10433
504,2014-05-20,10847
505,2014-05-21,8503
506,2014-05-22,10326
507,2014-05-23,10399
508,2014-05-24,10525
509,2014-05-25,12085
510,2014-05-26,10689
511,2014-05-27,8221
512,2014-05-28,9922
513,2014-05-29,5307
514,2014-05-30,10805
515,2014-05-31,12074
516,2014-06-01,10932
517,2014-06-02,10355
518,2014-06-03,10367
519,2014-06-04,10166
520,2014-06-05,10737
521,2014-06-06,11809
522,2014-06-07,11840
523,2014-06-08,10588
524,2014-06-09,10496
525,2014-06-10,9548
526,2014-06-11,8612
527,2014-06-12,9210
528,2014-06-13,9457
529,2014-06-14,11894
530,2014-06-15,11036
531,2014-06-16,10432
532,2014-06-17,10506
533,2014-06-18,9991
534,2014-06-19,10424
535,2014-06-20,11634
536,2014-06-21,9806
537,2014-06-22,10828
538,2014-06-23,10838
539,2014-06-24,11169
540,2014-06-25,10196
541,2014-06-26,10965
542,2014-06-27,10639
543,2014-06-28,10850
544,2014-06-29,10778
545,2014-06-30,10471
546,2014-07-01,10502
547,2014-07-02,9565
548,2014-07-03,8598
549,2014-07-04,11897
550,2014-07-05,12826
551,2014-07-06,10926
552,2014-07-07,10053
553,2014-07-08,8543
554,2014-07-09,8799
555,2014-07-10,8689
556,2014-07-11,11229
557,2014-07-12,11512
558,2014-07-13,9341
559,2014-07-14,8539
560,2014-07-15,7852
561,2014-07-16,11308
562,2014-07-17,11610
563,2014-07-18,11657
564,2014-07-19,11764
565,2014-07-20,10805
566,2014-07-21,11029
567,2014-07-22,11192
568,2014-07-23,10221
569,2014-07-24,10690
570,2014-07-25,12311
571,2014-07-26,11983
572,2014-07-27,10005
573,2014-07-28,10688
574,2014-07-29,11358
575,2014-07-30,11359
576,2014-07-31,10982
577,2014-08-01,9852
578,2014-08-02,10837
579,2014-08-03,9824
580,2014-08-04,10887
581,2014-08-05,10716
582,2014-08-06,10951
583,2014-08-07,11063
584,2014-08-08,11274
585,2014-08-09,10356
586,2014-08-10,10679
587,2014-08-11,9612
588,2014-08-12,5971
589,2014-08-13,10882
590,2014-08-14,11006
591,2014-08-15,11942
592,2014-08-16,12251
593,2014-08-17,10588
594,2014-08-18,10714
595,2014-08-19,10530
596,2014-08-20,9150
597,2014-08-21,9735
598,2014-08-22,10244
599,2014-08-23,6431
600,2014-08-24,10792
601,2014-08-25,10744
602,2014-08-26,10874
603,2014-08-27,11138
604,2014-08-28,11061
605,2014-08-29,11612
606,2014-08-30,10214
607,2014-08-31,8940
608,2014-09-01,8303
609,2014-09-02,8623
610,2014-09-03,10412
611,2014-09-04,10830
612,2014-09-05,11006
613,2014-09-06,9315
614,2014-09-07,11229
615,2014-09-08,10377
616,2014-09-09,10978
617,2014-09-10,11233
618,2014-09-11,10997
619,2014-09-12,12179
620,2014-09-13,8207
621,2014-09-14,11911
622,2014-09-15,11348
623,2014-09-16,12134
624,2014-09-17,11633
625,2014-09-18,11507
626,2014-09-19,11855
627,2014-09-20,12677
628,2014-09-21,10737
629,2014-09-22,11002
630,2014-09-23,11592
631,2014-09-24,9309
632,2014-09-25,6645
633,2014-09-26,12131
634,2014-09-27,12626
635,2014-09-28,10904
636,2014-09-29,10628
637,2014-09-30,11608
638,2014-10-01,10550
639,2014-10-02,11697
640,2014-10-03,10903
641,2014-10-04,10642
642,2014-10-05,9647
643,2014-10-06,10655
644,2014-10-07,9464
